event,content,title,actual_side,price_change_percentage,market_cap,float_shares,avg_volume,beta,recent_volume,float_ratio,day_of_week,hour,combined_sentiment,prev_news_sentiment,volatility,days_since_event
initial_public_offerings,november 29 2024 10 00 eet jasinskio 14 uab bond isin code lt0000411241 public offer subscription process launch subscription process closing date december 12 2024 13 00 eet 8 000 bond publicly offer investor latvia estonia lithuania offer price 1000 eur bond equal nominal value bond minimum investment 1 bond 1000 eur interest rate bond set range 10 00 11 00 cent annum expiration subscription period bond register nasdaq csd isin code lt0000411241 subscription offer carry stock exchange trading system market vse equity ipo genium inet trading system order book lt0000411241 jasipo10 10 annual coupon jasipo105 10 annual coupon jasipo11 11 annual coupon auction period order collection pla,correction jasinskio 14 project uab bond public offering,UP,0.8672464325181378,2068240896.0,66454795.0,450810.0,0.821,337200.0,0.0355729336206084,4,9,0.0,0.0,0.2616847913589203,220
annual_report,24 apr 2025 07 20 c air liquide l attachment s voir document s joint s zie bijlage ver documento s em anexo 16165_1329207_2025_q1__eng__pr__activity_report pdf air liquide les echos air liquide l air liquide fr0000120073 fr0000120073 ai 4ai euronext,air liquide q1 2025 revenue,UP,0.0,2215975321600.0,563659046.0,450810.0,0.708,337200.0,0.0002543616079591,3,7,0.0,0.0,0.3599002389082649,74
clinical_study,06 2025 calquence plus chemoimmunotherapy approve eu btk inhibitor 1st line mantle cell lymphoma approval base echo phase iii trial result demonstrate 16 month progression free survival improvement vs chemoimmunotherapy astrazeneca s calquence acalabrutinib combination bendamustine rituximab approve european union eu treatment adult patient previously untreated mantle cell lymphoma mcl eligible autologous stem cell transplant approval european commission follow positive opinion committee medicinal product human use base positive result echo phase iii trial present european haematology association eha 2024 congress publish journal clinical oncology demonstrate calquence plus bendamustine rituximab reduce risk disease progression death compare,calquence combination approve eu 1l mcl,UP,1.0420409629895797,2068006830080.0,1543211000.0,450810.0,0.173,337200.0,0.0007462310943819,1,6,-0.0676767676767676,0.0,0.2512157303879302,62
earnings_releases_and_operating_results,fasadgruppen publish year end report 2024 11 february 2025 07 30 cet report present webcast teleconference 08 15 cet morning presentation hold english conclude q session link webcast possibility send question https fasadgruppen group event indere com q4 report 2024 link registration participation phone possibility ask question https event indere com fasadgruppen group q4 report 2024 dial recording presentation available www fasadgruppen se information contact adrian westman head communication sustainabilitymail adrian westman fasadgruppen setel 46 0 73 509 04 00 fasadgruppen fasadgruppen group ab publ acquire develop entrepreneurial specialist company care create sustainable property group s subsidiary possess expertise aspect exterior work property,invitation presentation fasadgruppen s year end report 2024,DOWN,-2.322880412827343,1662569088.0,41043683.0,450810.0,1.032,337200.0,0.0246869037180125,0,7,0.1333333333333333,0.0,0.6000975658757406,154
geographic_expansion,information visit investor calendar https nasdaqbaltic com statistic en calendar nasdaq baltic issuer service 370 525 31459 vilnius 371 672 12431 riga 372 640 8800 tallinn https www nasdaqbaltic com nasdaq baltic common exchange regulate market alternative market north operate nasdaq company baltic state e nasdaq tallinn nasdaq riga ab nasdaq vilnius,mainor ülemiste interim report 3q 2024,DOWN,-0.368714595788657,5442367488.0,85519824.0,450810.0,0.824,337200.0,0.0157137172725959,3,10,-0.3,0.0,0.2190368268899498,249
mergers_acquisitions,toleranzia ab publ toleranzia company submit application 25 june 2025 delisting share nasdaq north growth market upcoming merger toleranzia flerie ab announce press release 25 march 2025 nasdaq stockholm ab exchange today 27 june 2025 resolve approve company s delist application exchange s decision conditional swedish company registration office grant approval implement merger plan enter company flerie ab day trading company s share nasdaq north growth market expect 18 august 2025 information contact charlotte fribert ceo toleranziatel 46 763 19 98 98email charlotte fribert toleranzia com toleranzia ab publ toleranzia ab publ develop medicine harness power immune system treat rare autoimmune disease drug targe,nasdaq stockholm approve toleranzia s application delist,UP,0.0,132500408.0,137361479.0,450810.0,0.995,337200.0,1.036687215332952,4,14,0.3,0.0,0.7497769924615609,10
earnings_releases_and_operating_results,january 30 2025 01 00 et source nokia oyj nokia oyj nokia corporationfinancial statement release30 january 2025 08 00 eet nokia corporation financial report q4 year 2024 strong q4 growth profitability market trend improve summary nokia corporation financial report q4 year 2024 publish today nokia publish summary financial report stock exchange release summary focus nokia group s financial information nokia s outlook detailed segment level discussion available complete financial report host www nokia com financial video interview summarize key point q4 result publish website investor solely rely summary nokia s financial report review complete report table pekka lundmark president ceo q4 year 2024 result following,nokia corporation financial report q4 year 2024,UP,5.775357038053935,27972386816.0,4667064115.0,450810.0,0.596,337200.0,0.1668454017063168,3,1,0.0955555555555555,0.0,0.3148677641272127,158
changes_in_companys_own_shares,zurich switzerland february 7 2025 abb launch new share buyback program 1 5 billion february 10 2025 abb launch previously announce new share buyback program 1 5 billion base current abb share price represent maximum approximately 27 6 million share maximum number share repurchase new program give trading day 663 417 new program consistent abb s capital allocation principle target maintain strong investment grade rating july 2020 abb repurchase 324 million share capital reduction purpose total approximately 10 3 billion total number abb s issue share 1 860 614 888 include 16 715 684 share repurchase 2024 share buyback program expect cancel q2 2025 abb use capital band authorize annual general meeting 2023 cancellation share,abb ltd abb launch new share buyback program 1 5 billion,UP,0.80379724738311,109027467264.0,1564026850.0,450810.0,0.79,337200.0,0.01434525527602,4,6,-0.0234343434343434,0.0,0.2517202043105008,150
annual_report,20 mar 2025 09 31 cet equinor asa equinor asa ose eqnr nyse eqnr publiserer dag årsrapporten 2024 som inkluderer finansiell og bærekraftrapportere 2024 var preget av uforutsigbare energimarkeder med økende energietterspørsel politisk usikkerhet og ujevn fremgang energiomstillingen equinor fortsetter å bygge porteføljen å levere energien som treng dag samtidig som vi utvikler energisystemer som er nødvendige fremtiden si ander opedal konsernsjef equinor asa sikkerhet en systematisk tilnærme til sikkerhet førte til historisk gode sikkerhetsresultater 2024 imidlertid var året preget av sar helikopterulykken der vi mistet en god kollega samarbeidet med leverandører og dele av felle lære bransjen er viktig fortsatt forbedre av sikkerhetsarbeidet si opedal tolv måneder gjennomsnittlig frekvens alvorlige hendelser 2024 var 0 3 en nedgang fra 0 4 2023 equinor leverte justert driftsinntekt på,equinor årsrapport 2024,UP,0.2430337883032957,656572940288.0,832367470.0,450810.0,0.022,337200.0,0.001267745621126,3,9,0.0,0.0,0.2940867730285777,109
voting_rights,missing,valneva déclaration d action et de droits de vote 31 décembre 2024,DOWN,-0.3232729939054249,493185056.0,116850962.0,450810.0,1.093,337200.0,0.2369312706831084,4,12,-0.05,0.0,0.6480653487976116,185
trading_information,06 mar 2025 11 40 cet phaxiam therapeutic regulatory news phaxiam therapeutics euronext phxm fr001400k4b1 request euronext suspend trading stock list euronext paris market publication press release pende release upcoming press release phaxiam therapeutic phaxiam biopharmaceutical company develop innovative treatment resistant bacterial infection responsible infection company build innovative approach base use phage natural bacterial killing virus phaxiam develop portfolio phage target 3 resistant dangerous bacteria account third resistant hospital acquire infection staphylococcus aureus escherichia coli pseudomonas aeruginosa phaxiam list euronext regulate market paris isin code fr001400k4b1 ticker phxm phaxiam pa,phaxiam therapeutic press release suspension trading,UP,0.0,1010065.0,6064953.0,450810.0,1.767,337200.0,6.004517531049982,3,11,-0.0142857142857143,0.0,0.3599002389082649,123
changes_in_companys_own_shares,30 dec 2024 12 25 cet equinor asa nedenfor følger informasjon om transaksjoner foretatt fjerde transje av equinor asa ose eqnr nyse eqnr ceux eqnro tqex eqnro tilbakekjøpsprogram 2024 dato når fjerde transje av 2024 programmet ble annonsert 24 oktober 2024 varigheten til fjerde transje av 2024 programmet 25 oktober til senest 31 januar 2025 ytterligere informasjon om transjen kan finne børsmelde om dens oppstart datert 24 oktober 2024 tilgjengelig https newsweb oslobor message 630241 fra 23 desember til 27 desember 2024 har equinor asa kjøpt tilbake totalt 1 200 000 egne aksjer til en gjennomsnittspris på nok 258 2337 pr aksje oversikt transaksjoner dato handel aggregert vektet total plattform daglig gjennomsnittspris transaksjonsverdi,equinor asa tilbakekjøp av egne aksjer,UP,1.1047595796130951,656572940288.0,832367470.0,450810.0,0.022,337200.0,0.001267745621126,0,12,0.0,0.0,0.2940867730285777,189
changes_in_companys_own_shares,november 07 2024 15 30 et source nokia oyj nokia oyj nokia oyjpörssitiedote7 11 2024 klo 22 30 nokia oyj omien osakkeiden takaisinosto 07 11 2024 espoo nokia oyj lei 549300a0jprwg1ki7u06 7 11 2024 hankkinut omia osakkeitaan isin fi0009000681 omistukseensa seuraavasti kahden desimaalin tarkkuuteen pyöristettynä nokia ilmoitti 25 tammikuuta 2024 että yhtiön hallitus käynnistämässä osakkeidensa takaisinosto ohjelman palauttaakseen yhtiön osakkeenomistajille enintään 600 miljoonaa euroa vaiheittain kahden vuoden kuluessa takaisinosto ohjelman ensimmäinen vaihe aloitettiin 20 maaliskuuta 2024 19 heinäkuuta 2024 nokia päätti nopeuttaa takaisinostoja korottamalla vuoden 2024 aikana ostettavien osakkeiden lukumäärää korotetut takaisinostot noudattaen euroopan parlamentin ja neuvoston antamaa markkinoiden väärinkäyttöasetusta eu 596 2014 mar euroopan komission delegoitua asetusta eu 2016 1052 ja nokian varsinaisen yhtiökok,nokia oyj omien osakkeiden takaisinosto 07 11 2024,UP,0.2178595144281154,27972386816.0,4667064115.0,450810.0,0.596,337200.0,0.1668454017063168,3,15,0.0,0.0955555555555555,0.3148677641272127,241
observation_status,nasdaq tallinn decide july 1 2025 apply additional reason apply observation status punktid technology share pnktd isin code ee3100089160 base section 40 2 2 3 north rule observation status supplement fact punktid technology publish audited annual financial report 2024 6 month end reporting period observation status apply company february 10 2025 force nasdaq baltic issuer service 372 640 8800 www nasdaqbaltic com nasdaq baltic common exchange regulate market alternative market north operate nasdaq company baltic state e nasdaq tallinn nasdaq riga ab nasdaq vilnius,observation status punktid technology supplement additional reason,DOWN,-0.7641849786815349,2068240896.0,66454795.0,450810.0,0.821,337200.0,0.0355729336206084,1,11,-0.3666666666666667,0.0,0.2616847913589203,6
bond_fixing,09 apr 2025 12 43 c sparebank 1 gudbrandsdal det er fastsatt ny obligasjonsrente no0013364968 ny obligasjonsrente renteperioden 11 04 2025 11 07 2025 er 5 43 ticker sbgg28 pro den nye obligasjonsrenten og renteperioden er fastsatt henhold til obligasjonsavtalen se vedlagt dokument utfyllende informasjon publisert av nordic trustee information access news oslo bor newsweb site information access news oslo bor newsweb site 643297_a829fb374c0a4db39c99a914ec538587 pdf sparebank 1 gudbrandsdal oslo børs newspoint spb 1 gudbrandsdal 20 25 frn spb 1 gudbrandsdal 21 26 frn spb 1 gudbrandsdal 22 32 frn c sub spb 1 gudbrandsdal 22 25 frn spb 1 gudbrandsdal 23 28 frn spb 1 gudbrandsdal 23 26 frn spb 1 gudbrandsdal 24 34 adj c sub spb 1 gudbrandsdal 24 27 frn spb 1 gudbrandsdal 24 29 frn no0010875669 no0010947237 no0012513557 no0012635137 no0013020438 no0013073023 no0013073031 no0013216234 n,rentefastsettelse,DOWN,-1.9167600059288668,2068240896.0,66454795.0,450810.0,0.821,337200.0,0.0355729336206084,2,12,0.0,0.0,0.2775204346817344,89
annual_general_meeting,information visit investor calendar https nasdaqbaltic com statistic en calendar nasdaq baltic issuer service 370 525 31459 vilnius 371 672 12431 riga 372 640 8800 tallinn https www nasdaqbaltic com nasdaq baltic common exchange regulate market alternative market north operate nasdaq company baltic state e nasdaq tallinn nasdaq riga ab nasdaq vilnius,nomination committee cellavision annual general meeting 2025,DOWN,-0.4056795131845842,4331432448.0,19817058.0,450810.0,1.226,337200.0,0.0045751742034324,2,8,-0.1249999999999999,0.0,0.4410879139238441,250
conference_call_webinar,conference begin today 11 00 m eastern time,imunon report quarter 2024 financial result provide business update,UP,2.898547970379774,17714540.0,12808492.0,12655315.0,2.143,945100.0,0.7230496529969167,0,8,0.0,0.0,2.958757799365932,420
