Column,Completeness (%)
news_id,100.0
ticker_url,100.0
title,100.0
link,100.0
published_date,100.0
company,100.0
event,100.0
reason,100.0
publisher,100.0
industry,100.0
publisher_topic,100.0
instrument_id,99.90605918271488
yf_ticker,100.0
published_date_gmt,100.0
timezone,100.0
publisher_summary,100.0
predicted_side,100.0
predicted_move,100.0
content,100.0
language,100.0
begin_price,100.0
end_price,100.0
index_begin_price,100.0
index_end_price,100.0
price_change,100.0
price_change_percentage,100.0
index_price_change,100.0
index_price_change_percentage,100.0
daily_alpha,100.0
actual_side,100.0
volume,100.0
market,100.0
