event,count
changes_in_companys_own_shares,1234
financial_results,689
bond_fixing,657
annual_general_meeting,625
earnings_releases_and_operating_results,594
mergers_acquisitions,395
clinical_study,382
management_changes,373
corporate_action,351
regulatory_filings,351
annual_report,328
conference_call_webinar,275
voting_rights,268
major_shareholder_announcements,258
exchange_announcement,250
business_contracts,248
press_releases,222
financing_agreements,220
shares_issue,208
financial_calendar,180
product_services_announcement,146
partnerships,135
,121
dividend_reports_and_estimates,111
company_regulatory_filings,100
geographic_expansion,89
environmental_social_governance,88
interim_information,84
capital_investment,78
share_capital_increase,77
changes_in_share_capital_and_votes,74
government_news,66
prospectus_announcement,65
managers_transactions,57
trading_information,50
fund_data_announcement,49
observation_status,43
law_legal_issues,43
licensing_agreements,41
initial_public_offerings,37
warrants_and_certificates,35
contests_awards,30
extraordinary_general_meeting,28
bankruptcy,25
ex_dividend_date,23
trade_show,20
joint_venture,20
analyst_coverage,18
patents,16
advisory,14
annual_meetings_shareholder_rights,9
market_research_reports,8
management_statements,8
credit_rating,7
traffic_statistics,7
research_analysis_and_reports,6
feature_article,4
manager_transaction,3
extraordinary_shareholders_meeting,2
managerial_transactions,2
exploration,2
news,2
liquidity_contract,2
employee_share_savings_plan,2
transparency_notifications,1
downgrade,1
stabilization_measures,1
liquidity_contracts,1
credit_rating_update,1
employee_stock_ownership,1
share buybacks,1
orphan_drug_designation,1
cost_savings,1
special_general_meeting,1
"Without specific content for the news item, assigning the best tag accurately is not possible. Please provide details or context from the news so I can select the most appropriate tag.",1
restructuring,1
employee_share_ownership,1
employee_shareholding,1
divestitures,1
"Without specific details about the news, I'm unable to choose the most appropriate tag.",1
monetary_policy_meeting,1
Please provide specific details or context about the news so I can choose the most appropriate tag.,1
insolvency,1
"Without specific details about the news content, it's impossible to accurately select a tag. Please provide more information.",1
extraordinary_meeting,1
bonds,1
manager’s_transaction,1
fleet_status_report,1
milestone_achievement,1
related_party_transaction,1
suspension_de_cours,1
public_offer,1
technical_issue,1
certification,1
Please provide the specific news content for accurate tagging.,1
green_bonds,1
managers' transactions,1
employee_share_purchase_programme,1
asset_acquisition,1
management_transactions,1
insider_trading,1
votes,1
ratings,1
investor_relations,1
manager's_transaction,1
sustainability,1
recapitalization,1
monetary_policy,1
"Without specific content from the news, it's challenging to accurately assign a single tag to it. However, if you provide more context or details about the news, I could assist further in choosing the most appropriate tag.",1
