Missing Count,Missing Percentage
0,0.0
3323,33.23
0,0.0
0,0.0
0,0.0
739,7.39
121,1.21
274,2.74
0,0.0
2871,28.71
617,6.17
2904,29.04
1351,13.51
105,1.05
105,1.05
7814,78.14
270,2.7
270,2.7
448,4.4799999999999995
33,0.33
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
7871,78.71000000000001
9344,93.44
