version,timestamp,input_hash,output_hash,versioned_path,input_path
v1.0.0,2025-06-25T13:20:31.757039,d58f0c490d26a168b7b70d097d4ce9dfc88fac4cb3fb3fb03994fe8f2ed03e61,86c2ed01ea0d85449e602525d9b01b94ba22a045b0902b6943ae38010ced3606,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\versions\v1.0.0\clean_price_moves.csv,
v1.0.1,2025-06-25T13:23:07.083563,d58f0c490d26a168b7b70d097d4ce9dfc88fac4cb3fb3fb03994fe8f2ed03e61,86c2ed01ea0d85449e602525d9b01b94ba22a045b0902b6943ae38010ced3606,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\versions\v1.0.1\clean_price_moves.csv,
v1.0.2,2025-06-25T13:51:10.274402,d58f0c490d26a168b7b70d097d4ce9dfc88fac4cb3fb3fb03994fe8f2ed03e61,c2b1760389122d30a6d0b60a8f0a4aa7707f0a48f3e8173a5df782cdb9774b21,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\versions\v1.0.2\clean_price_moves.csv,
v1.0.3,2025-06-25T13:58:09.203094,d58f0c490d26a168b7b70d097d4ce9dfc88fac4cb3fb3fb03994fe8f2ed03e61,8aacc77ce49bda57c1dd039c8b1a6a12d11a385759aec433554bc3a58e2b1099,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\versions\v1.0.3\clean_price_moves.csv,
v1.0.4,2025-06-25T15:19:33.494992,d58f0c490d26a168b7b70d097d4ce9dfc88fac4cb3fb3fb03994fe8f2ed03e61,5d08559bcbeacb3e8d883c075de0f16cac8ee0f3a180df4eb4012d93e45ec071,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\versions\v1.0.4\clean_price_moves.csv,
v1.0.5,2025-06-25T16:52:32.436097,d58f0c490d26a168b7b70d097d4ce9dfc88fac4cb3fb3fb03994fe8f2ed03e61,41887ab661f646aab6d81f760e74493bb88c6d4a902009d544cb5db3058fd216,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\versions\v1.0.5\clean_price_moves.csv,
v1.0.6,2025-06-28T11:10:38.475497,d58f0c490d26a168b7b70d097d4ce9dfc88fac4cb3fb3fb03994fe8f2ed03e61,523483b113f5307a84fc549fbd586f8d768b603bded9d832b49e466e732ef493,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\versions\v1.0.6\clean_price_moves.csv,
v1.0.7,2025-07-06T16:29:40.621570,c479b361409c7c92787a4e26a0c8aea80e6e38223f0f628d2abb62f350c9cdc5,c53e144ebfbe62400f68f0a12be8a9e322f91f05deedb6b685c7482178325568,data/versions\v1.0.7\validated_price_moves_20250706.csv,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\backfill_data\price_moves_backfill_20250706_151035.csv
v1.0.8,2025-07-07T14:38:17.003263,d7b545dd5486828c169e4fe319580a94cbf967aac011261d52805d145e52d8d7,ee17ddd218e4b104cd6dadc7383c609171c9f6bab4afa583d46150db73404de5,data/versions\v1.0.8\validated_price_moves_20250707.csv,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\clean\cleaned_price_moves_20250707.csv
v1.0.9,2025-07-07T14:46:05.329262,d7b545dd5486828c169e4fe319580a94cbf967aac011261d52805d145e52d8d7,ee17ddd218e4b104cd6dadc7383c609171c9f6bab4afa583d46150db73404de5,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\versions\v1.0.9\validated_price_moves_20250707.csv,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\data\clean\cleaned_price_moves_20250707.csv
