model,dataset,event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct
Random Forest,feature_engineering,all_events,en,0.7908745247148289,0.8097165991902834,0.7604562737642585,0.7843137254901961,0.8800257340716217,526,2102,2628,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_all_events_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_all_events_tfidf_vectorizer_binary.joblib,76.04562737642586,82.12927756653993,263,263,200,216,46.958174904942965,53.041825095057035
Random Forest,feature_engineering,annual_general_meeting,en,0.9,0.8333333333333334,1.0,0.9090909090909091,0.905,20,78,98,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_annual_general_meeting_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_annual_general_meeting_tfidf_vectorizer_binary.joblib,100.0,80.0,10,10,10,8,60.0,40.0
Random Forest,feature_engineering,annual_report,en,0.9166666666666666,0.9,1.0,0.9473684210526315,0.925925925925926,12,48,60,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_annual_report_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_annual_report_tfidf_vectorizer_binary.joblib,100.0,66.66666666666666,9,3,9,2,83.33333333333334,16.666666666666664
Random Forest,feature_engineering,bond_fixing,en,0.813953488372093,0.8333333333333334,0.75,0.7894736842105263,0.8652173913043477,43,169,212,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_bond_fixing_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_bond_fixing_tfidf_vectorizer_binary.joblib,75.0,86.95652173913044,20,23,15,20,41.86046511627907,58.139534883720934
Random Forest,feature_engineering,business_contracts,en,1.0,1.0,1.0,1.0,1.0,10,38,48,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_business_contracts_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_business_contracts_tfidf_vectorizer_binary.joblib,100.0,100.0,7,3,7,3,70.0,30.0
Random Forest,feature_engineering,capital_investment,en,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,5,17,22,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_capital_investment_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_capital_investment_tfidf_vectorizer_binary.joblib,100.0,66.66666666666666,2,3,2,2,60.0,40.0
Random Forest,feature_engineering,changes_in_companys_own_shares,en,0.7611940298507462,0.7916666666666666,0.6333333333333333,0.7037037037037037,0.8581081081081081,67,267,334,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_changes_in_companys_own_shares_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_changes_in_companys_own_shares_tfidf_vectorizer_binary.joblib,63.33333333333333,86.48648648648648,30,37,19,32,35.82089552238806,64.17910447761194
Random Forest,feature_engineering,changes_in_share_capital_and_votes,en,1.0,1.0,1.0,1.0,1.0,4,13,17,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_changes_in_share_capital_and_votes_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_changes_in_share_capital_and_votes_tfidf_vectorizer_binary.joblib,100.0,100.0,1,3,1,3,25.0,75.0
Random Forest,feature_engineering,clinical_study,en,0.9166666666666666,0.8888888888888888,0.96,0.9230769230769231,0.9530434782608695,48,189,237,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_clinical_study_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_clinical_study_tfidf_vectorizer_binary.joblib,96.0,86.95652173913044,25,23,24,20,56.25,43.75
Random Forest,feature_engineering,company_regulatory_filings,en,0.75,0.0,0.0,0.0,1.0,4,16,20,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_company_regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_company_regulatory_filings_tfidf_vectorizer_binary.joblib,0.0,100.0,1,3,0,3,0.0,100.0
