model,dataset,event,language,mse,r2,mae,rmse,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,cpercentage_1_to_2,cpercentage_2_to_3
Random Forest,data_quality,all_events,en,3.4831546704722207,0.29442885897242443,1.1502932183713033,1.8663211595200384,526,2102,2628,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_all_events_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_all_events_tfidf_vectorizer_regression.joblib,124.37655905976592,
Random Forest,data_quality,annual_general_meeting,en,2.164688471854584,0.5966086739050394,0.9252182390259275,1.4712880315745738,20,78,98,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_annual_general_meeting_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_annual_general_meeting_tfidf_vectorizer_regression.joblib,803.8896310925194,
Random Forest,data_quality,annual_report,en,0.47556487812775333,-0.553834816472415,0.5459820632088589,0.6896121215058167,12,48,60,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_annual_report_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_annual_report_tfidf_vectorizer_regression.joblib,48.03935998234318,
Random Forest,data_quality,bond_fixing,en,1.3362353323646061,0.23570466734603845,0.7044620591004165,1.1559564578151749,43,169,212,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_bond_fixing_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_bond_fixing_tfidf_vectorizer_regression.joblib,251.00641189472995,
Random Forest,data_quality,changes_in_companys_own_shares,en,3.8176237747828177,-0.10076897879983293,1.2748522004923672,1.9538740427117653,67,267,334,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_changes_in_companys_own_shares_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_changes_in_companys_own_shares_tfidf_vectorizer_regression.joblib,-30.629523024599685,
Random Forest,data_quality,clinical_study,en,6.807125020195645,0.37768000660926426,1.757979370721322,2.609046764662459,48,189,237,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_clinical_study_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_clinical_study_tfidf_vectorizer_regression.joblib,113.15200457417636,
Random Forest,data_quality,conference_call_webinar,en,3.808770638322732,0.011316223293849514,1.1840543054931132,1.951607193654177,28,109,137,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_conference_call_webinar_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_conference_call_webinar_tfidf_vectorizer_regression.joblib,103.50407389309851,
Random Forest,data_quality,corporate_action,en,5.738899199550355,-0.025791449732935456,1.4660592824889616,2.395599966511595,18,72,90,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_corporate_action_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_corporate_action_tfidf_vectorizer_regression.joblib,-104.46363785856903,
Random Forest,data_quality,earnings_releases_and_operating_results,en,4.362987082439947,0.22283812496453492,1.2797844613264078,2.0887764558324444,34,134,168,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_earnings_releases_and_operating_results_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_earnings_releases_and_operating_results_tfidf_vectorizer_regression.joblib,128.53149832969933,
Random Forest,data_quality,exchange_announcement,en,9.687296946059606,-0.05791222914202665,2.1135631584354186,3.1124422799563054,18,70,88,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_exchange_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_exchange_announcement_tfidf_vectorizer_regression.joblib,73.07391845897364,
Random Forest,data_quality,financial_results,en,6.91357088040679,0.2277867020865213,1.8244762162947386,2.6293670113559253,28,109,137,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_financial_results_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_financial_results_tfidf_vectorizer_regression.joblib,623.4432855769404,
Random Forest,data_quality,financing_agreements,en,7.520343960766619,0.062205221353405005,1.817501240932722,2.742324554236172,13,48,61,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_financing_agreements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_financing_agreements_tfidf_vectorizer_regression.joblib,-91.22185510769344,
Random Forest,data_quality,major_shareholder_announcements,en,2.7568497085438683,0.7185321800619471,1.270607481600492,1.6603763755678616,12,46,58,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_major_shareholder_announcements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_major_shareholder_announcements_tfidf_vectorizer_regression.joblib,,
Random Forest,data_quality,management_changes,en,2.502970538130472,0.12336670521884996,0.8561457051348212,1.5820779178442737,17,64,81,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_management_changes_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_management_changes_tfidf_vectorizer_regression.joblib,138.6758035312575,
Random Forest,data_quality,mergers_acquisitions,en,2.558835458291544,0.3190780821927619,1.0366077096751585,1.5996360393200524,15,58,73,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_mergers_acquisitions_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_mergers_acquisitions_tfidf_vectorizer_regression.joblib,801.3051804097668,
Random Forest,data_quality,regulatory_filings,en,2.8915031792463095,0.22898898950518498,0.9269410920372119,1.7004420540689733,23,88,111,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_regulatory_filings_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_regulatory_filings_tfidf_vectorizer_regression.joblib,455.2887428122561,
Random Forest,data_quality,voting_rights,en,1.3738732729339285,0.15703739135705874,0.7445903487105385,1.1721234034579842,13,50,63,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_voting_rights_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\data_quality_random_forest_voting_rights_tfidf_vectorizer_regression.joblib,233.6606992941478,
Random Forest,feature_engineering,all_events,en,3.2610349595461767,0.3394229154268732,1.1100596879609783,1.8058335913217964,526,2102,2628,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_all_events_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_all_events_tfidf_vectorizer_regression.joblib,,15.281809198826807
Random Forest,feature_engineering,annual_general_meeting,en,2.120656351020135,0.6048140927655945,0.8862451729918867,1.4562473522791843,20,78,98,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_annual_general_meeting_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_annual_general_meeting_tfidf_vectorizer_regression.joblib,,1.3753435408250838
Random Forest,feature_engineering,annual_report,en,0.5235477411639572,-0.7106114133338257,0.555842230282913,0.7235659895019646,12,48,60,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_annual_report_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_annual_report_tfidf_vectorizer_regression.joblib,,-28.30746500553733
Random Forest,feature_engineering,bond_fixing,en,0.9293531590796512,0.4684317465136605,0.5989011417367369,0.9640296463696805,43,169,212,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_bond_fixing_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_bond_fixing_tfidf_vectorizer_regression.joblib,,98.73672922477813
Random Forest,feature_engineering,changes_in_companys_own_shares,en,3.187417561580157,0.08094391138140755,1.1179491339204708,1.7853340196109402,67,267,334,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_changes_in_companys_own_shares_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_changes_in_companys_own_shares_tfidf_vectorizer_regression.joblib,,180.32621978058762
Random Forest,feature_engineering,clinical_study,en,5.728452342181069,0.4762942632684588,1.660100750496244,2.3934185472209135,48,189,237,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_clinical_study_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_clinical_study_tfidf_vectorizer_regression.joblib,,26.11053138463263
Random Forest,feature_engineering,conference_call_webinar,en,3.9859923037892107,-0.03468712061050061,1.1613284813897604,1.9964950046992882,28,109,137,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_conference_call_webinar_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_conference_call_webinar_tfidf_vectorizer_regression.joblib,,-406.52559347563795
Random Forest,feature_engineering,corporate_action,en,6.2868526543337095,-0.1237346177907448,1.5109837217385156,2.5073596978362938,18,72,90,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_corporate_action_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_corporate_action_tfidf_vectorizer_regression.joblib,,-379.7505338861846
Random Forest,feature_engineering,earnings_releases_and_operating_results,en,4.297464943321476,0.23450932809474645,1.3302234358998752,2.0730327887714357,34,134,168,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_earnings_releases_and_operating_results_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_earnings_releases_and_operating_results_tfidf_vectorizer_regression.joblib,,5.2375252807700745
Random Forest,feature_engineering,exchange_announcement,en,10.608338006986461,-0.1584955608311418,2.195223087556622,3.257044366751313,18,70,88,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_exchange_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\feature_engineering_random_forest_exchange_announcement_tfidf_vectorizer_regression.joblib,,-173.68236930137832
