event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct
fund_data_announcement,en,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,0.5,7,26,33.0,C:\Users\HP\Desktop\finespresso-modelling\models\fund_data_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\fund_data_announcement_tfidf_vectorizer_binary.joblib,100.0,0.0,6,1,6,0,100.0,0.0
annual_general_meeting,en,0.8333333333333334,0.0,0.0,0.0,0.39999999999999997,12,45,57.0,C:\Users\HP\Desktop\finespresso-modelling\models\annual_general_meeting_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\annual_general_meeting_tfidf_vectorizer_binary.joblib,0.0,100.0,2,10,0,10,0.0,100.0
trade_show,en,0.8333333333333334,0.0,0.0,0.0,0.6,6,20,26.0,C:\Users\HP\Desktop\finespresso-modelling\models\trade_show_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\trade_show_tfidf_vectorizer_binary.joblib,0.0,100.0,1,5,0,5,0.0,100.0
patents,en,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,0.4,6,24,30.0,C:\Users\HP\Desktop\finespresso-modelling\models\patents_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\patents_tfidf_vectorizer_binary.joblib,100.0,0.0,5,1,5,0,100.0,0.0
licensing_agreements,en,0.8,0.8,1.0,0.8888888888888888,0.5,5,20,25.0,C:\Users\HP\Desktop\finespresso-modelling\models\licensing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\licensing_agreements_tfidf_vectorizer_binary.joblib,100.0,0.0,4,1,4,0,100.0,0.0
capital_investment,en,0.75,0.75,1.0,0.8571428571428571,0.5,4,12,16.0,C:\Users\HP\Desktop\finespresso-modelling\models\capital_investment_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\capital_investment_tfidf_vectorizer_binary.joblib,100.0,0.0,3,1,3,0,100.0,0.0
bond_fixing,en,0.75,0.0,0.0,0.0,0.5,4,16,20.0,C:\Users\HP\Desktop\finespresso-modelling\models\bond_fixing_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\bond_fixing_tfidf_vectorizer_binary.joblib,0.0,100.0,1,3,0,3,0.0,100.0
exchange_announcement,en,0.75,0.0,0.0,0.0,0.5,12,45,57.0,C:\Users\HP\Desktop\finespresso-modelling\models\exchange_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\exchange_announcement_tfidf_vectorizer_binary.joblib,0.0,100.0,3,9,0,9,0.0,100.0
financing_agreements,en,0.75,0.0,0.0,0.0,0.5666666666666667,20,80,100.0,C:\Users\HP\Desktop\finespresso-modelling\models\financing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_binary.joblib,0.0,100.0,5,15,0,15,0.0,100.0
management_changes,en,0.7407407407407407,0.0,0.0,0.0,0.6785714285714285,27,107,134.0,C:\Users\HP\Desktop\finespresso-modelling\models\management_changes_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\management_changes_tfidf_vectorizer_binary.joblib,0.0,100.0,7,20,0,20,0.0,100.0
press_releases,en,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,0.5,11,44,55.0,C:\Users\HP\Desktop\finespresso-modelling\models\press_releases_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\press_releases_tfidf_vectorizer_binary.joblib,100.0,0.0,8,3,8,0,100.0,0.0
conference_call_webinar,en,0.6865671641791045,1.0,0.045454545454545456,0.08695652173913043,0.5333333333333333,67,264,331.0,C:\Users\HP\Desktop\finespresso-modelling\models\conference_call_webinar_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\conference_call_webinar_tfidf_vectorizer_binary.joblib,4.545454545454546,100.0,22,45,1,45,1.4925373134328357,98.50746268656717
prospectus_announcement,en,0.6666666666666666,0.0,0.0,0.0,0.5,3,11,14.0,C:\Users\HP\Desktop\finespresso-modelling\models\prospectus_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\prospectus_announcement_tfidf_vectorizer_binary.joblib,0.0,100.0,1,2,0,2,0.0,100.0
corporate_action,en,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,0.5,11,40,51.0,C:\Users\HP\Desktop\finespresso-modelling\models\corporate_action_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\corporate_action_tfidf_vectorizer_binary.joblib,100.0,0.0,7,4,7,0,100.0,0.0
business_contracts,en,0.625,0.5714285714285714,1.0,0.7272727272727273,0.625,8,28,36.0,C:\Users\HP\Desktop\finespresso-modelling\models\business_contracts_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\business_contracts_tfidf_vectorizer_binary.joblib,100.0,25.0,4,4,4,1,87.5,12.5
earnings_releases_and_operating_results,en,0.625,0.0,0.0,0.0,0.55,32,127,159.0,C:\Users\HP\Desktop\finespresso-modelling\models\earnings_releases_and_operating_results_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\earnings_releases_and_operating_results_tfidf_vectorizer_binary.joblib,0.0,100.0,12,20,0,20,0.0,100.0
shares_issue,en,0.625,0.0,0.0,0.0,0.509090909090909,16,63,79.0,C:\Users\HP\Desktop\finespresso-modelling\models\shares_issue_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\shares_issue_tfidf_vectorizer_binary.joblib,0.0,90.9090909090909,5,11,0,10,6.25,93.75
